ID,Plot,Phase,3.3.2020,3.9.2020,3.9.2020,3.18.2020,3.25.2020,3.31.2020,4.7.2020,4.9.2020,4.17.2020,4.20.2020,4.23.2020,4.28.2020,5.1.2020,5.7.2020,5.12.2020,5.14.2020,5.22.2020,5.27.2020,6.2.2020,6.5.2020,6.12.2020,6.15.2020,6.23.2020,6.25.2020,7.3.2020,7.6.2020,7.16.2020,7.24.2020,8.1.2020,8.7.2020,8.16.2020,8.28.2020,9.4.2020,9.11.2020,9.19.2020,9.24.2020,10.1.2020,10.8.2020,10.19.2020,10.27.2020,11.6.2020,11.16.2020
SPITOM_WM_5B,4,Leaves,,,,,,,,,,9,10,15,16,18,19,,,,,,,,,,,,,,,,,,,,,,,91,92,95,97,99
SPITOM_WM_5B,4,Flowers,,,,,,,,,65-m,68-m,69-m,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,
MYRGAL_SH_2A,4,Leaves,,,,,,,,,,,10,12,14,17,19,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99
MYRGAL_SH_2A,4,Flowers,,,,62-m,65-m,65-m,65-m,65-m,65-m,68-m,69-m,,,,,,,,,,,,,,,,,,,,,,,,,,,102,102,,,
MYRGAL_GR_8A,4,Leaves,,,,,,,,,,9,10,11,13,17,17,18,19,,,,,,,,,,,,,,,,,,,,,"102,98",98,98,98,99
MYRGAL_GR_8A,4,Flowers,,,,,62-m,63-m,63-m,64-m,64-m,67-m,68-m,68-m,69-m,,,,,,,,,,,,,,,,,,,,,,,,,102m,102m,,,
SPIALB_HF_1,4,Leaves,,,,,9,10,15,16,19,,,,,,19,,,,,,,,,,,,68/76,76,76,76/68,77,77,77,79,,,92,"101,91",92,93,94,97
SPIALB_HF_1,4,Flowers,,,,,,,,,,,,,,,,,,,54,,,,67,68,68/72,68/74,,,,,,,,78,79,,93,79,79,,,
SPIALB_WM_2B,4,Leaves,,,,,9,9,12,15,17,18,18,19,,,19,,,,,,,,,,,,,,,,,,,,,,,92,93,95,96,99
SPIALB_WM_2B,4,Flowers,,,,,,,,,,,,,,,,,,,54,,,,64,67,68/74,68/76,,,,,76,76,76,77,,,92,79,79,,,
