id,species,site,ind,leaf,SLA,LDMC,year
SPIALB_HF_10_2,SPIALB,HF,10,2,36.71168526,308.5144928,2019
BETALL_WM_8B_1,BETALL,WM,8B,1,20.1674898,308.5468198,2019
ALNINC_HF_2_1,ALNINC,HF,2,1,19.17593926,308.6464646,2019
SAMRAC_GR_9_2,SAMRAC,GR,9,2,24.99974692,308.6927083,2019
DIELON_WM_1B_1,DIELON,WM,1B,1,30.53523238,308.7033994,2022
BETPAP_GR_5_2,BETPAP,GR,5,2,21.13320202,308.9180453,2019
MYRGAL_SH_1B_1,MYRGAL,SH,1B,1,20.32869081,308.9500861,2019
DIELON_SH_2A_1,DIELON,SH,2A,1,28.98091873,309.1679776,2019
DIELON_SH_4_1,DIELON,SH,4,1,19.8935667,309.652849,2019
BETPAP_GR_9_1,BETPAP,GR,9,1,19.74440443,309.6753034,2019
