Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.18,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18,8.20.18,8.23.18,8.27.18,8.30.18,9.3.18,9.6.18,9.10.18,9.13.18,9.17.18,9.20.18,9.25.18,9.27.18,10.1.18,10.4.18,10.8.18,10.15.18,10.24.18,10.31.18,11.7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP01_HF,3,,,,,,,,,7,7,7,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,101,101,101,101,"101,100-m","101,100-m","101,100-m","100-m,101","100-m,102","100-m,90","100-m,90","100-m,90","101-m,92","101-m, 93","102-m,94",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC01_GR,3,,,,,,,,7-D,7-D,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,101",100-m,"100-m,101","100-m,101","100-m,101","100-m,101","100-m,101","100-m,101","101,100-m,90","101,100-m","101,100-m","101,100-m","101,100-m","101,100-m","102,100-m",100-m,100-m,100-m,"101-m, 91","102-m,93",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP05_GR,3,,,,,,,,,,,7,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,101,102,,90,90,93,93,93,94,96,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC08_GR,3,,,,,,,,,7-D,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,101",100-m,100-m,100-m,"101,100-m","101,100-m","101,100-m","101,100-m","101,100-m,90","101,100-m,90","101,101-m,90","101,101-m,90","101,101-m,90","101,101-m,9-","102,101-m,90","101-m,90","101-m,90","101-m,91","101-m, 92","101-m,94","101-m,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEPEN12_HF,3,,,,rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC11_GR,3,,,,,,,,,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,101","101,100-m","101,100-m","101,100-m,90","101,100-m","101,100-m","101,100-m,90","101,101-m,92","101,101-m,92","102,101-m,92","101-m,90","101-m,90","101-m,91","101-m, 93","101-m,94","101-m,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP07_WM,3,,,,,,,,,7-D,7,9,11,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100,100-m","100,100-m","100,100-m","100,100-m","101,100-m","101,100-m","102,100-m",100-m,"100-m,90","100-m,90","100-m,93","100-m,93","101-m, 94","102-m,94",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOPX_X,3,,,,,,,,,,,7,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,,,"100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100-m,100","100,100-m","100,100-m","100,100-m","100,100-m","101,100-m","101,100-m","102,100-m",100-m,"100-m,90","100-m,90","100-m,90","100-m,90","101-m, 92","102-m,94",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBCAS01_SH,4,,,,,,,,9,11,15,11,15,15,19,,19,,,,,,,,,,,,,,,,,100,100,101,,,,,,,,,,,,,,,,,,,,,,,90,90,90,92,93,95,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBCAS09_GR,4,,,,,,,,7,9,11,11,15,15,19,,19,,,,,,,,,,,,,,,,,100,100,101,,,,,,,,,,,,,,,,,,,,,,,,90,90,93,94,95,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
